Title,Image,Range_URL,Range,Range_URL1,Range2,Range3,Range4
"Well, banks didn't roll out contactless cards to compete with Apple Pay, in Europe contactless cards and other digital wallets have existed since 2008 way before Apple Pay, starting with Mastercard PayPass and Visa PayWave. Maybe not in the U.S. but contactless technology was designed to be used with physical cards, then banks started launching their own virtual cards using the NFC capabilities of Android Phones, later Apple gatekeeped NFC to be used only with the Wallet app, forcing banks to pay the fee, creating Apple Pay.",,https://www.youtube.com/@Kewtopia,"
              @Kewtopia
            ",https://www.youtube.com/watch?v=ugjhVHcYbMU&lc=UgwwCXu6xxL8EouM-OJ4AaABAg,"
            2年前（修改过）
          ","
    1659
  ",31 条回复
"As consumers, we need to do everything we can to thwart monopolies because neither banks nor tech has our best interests in mind and whomever wins, wins a big chunk of our wallet.",,https://www.youtube.com/@victoriaselwyn8781,"
              @victoriaselwyn8781
            ",https://www.youtube.com/watch?v=ugjhVHcYbMU&lc=UgxGqOdUt-qv7nrduU94AaABAg,"
            2年前
          ","
    2406
  ",48 条回复
"I know Apple is the dominant player, but I would've liked to know how much of a cut Samsung Pay and Google Pay also took.",,https://www.youtube.com/@ItsFreakinJesus,"
              @ItsFreakinJesus
            ",https://www.youtube.com/watch?v=ugjhVHcYbMU&lc=UgykpJgRJXhqwU6N_Fp4AaABAg,"
            2年前
          ","
    388
  ",9 条回复
"This feels like such a US themed video.  In the UK, we don’t have the Apple Card, but we’ve literally got app only banks popping up, that basically rely on Apple/Google Pay (for the most part)

The way she said “they’re introducing contactless cards”, we’ve had these for eons",,https://www.youtube.com/@jorjlim,"
              @jorjlim
            ",https://www.youtube.com/watch?v=ugjhVHcYbMU&lc=Ugy9TdqQ9pv6Z69sIPh4AaABAg,"
            2年前
          ","
    694
  ",37 条回复
"I was living in England for a few years and contactless payment was the norm. At restaurants they even brought card scanners to your table. My card would never leave my sight. After coming back to the US I realized how backwards it is when it comes to this technology. In the US, where the server  takes your card to the back  to scan your card (and with malicious intent write down your card information). I am so excited contactless payment is finally catching up in the US!!",,https://www.youtube.com/@ThatOneDreadHead,"
              @ThatOneDreadHead
            ",https://www.youtube.com/watch?v=ugjhVHcYbMU&lc=UgwQVT9qicBa2pFveGZ4AaABAg,"
            2年前
          ","
    398
  ",20 条回复
"One thing you're missing is the fact that banks do not keep the whole interchange fee either. They have to give a portion of it to whichever processing network the transaction was done over. This means that Visa and Mastercard, with their networks, take a fee when it is processed through them. Therefore, they actually only keep ~5-8 cents on a transaction. Then, you add on the fees that Apple and others could take... That is why they're scared.",https://yt3.ggpht.com/ytc/AIdro_nv_E-1_ZuypHOeW2kaQjuuF9id6JpqecbXfUb01VAd7w=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@perryawe2121,"
              @perryawe2121
            ",https://www.youtube.com/watch?v=ugjhVHcYbMU&lc=UgzeSwUydO1mU5yN5u54AaABAg,"
            2年前（修改过）
          ","
    122
  ",7 条回复
Every bank's want's to be a tech company and every tech companies want's to be a bank.,https://yt3.ggpht.com/ytc/AIdro_k-O9c-ScGl9U3x8dYpzXFnsia2M1QdGroLjvjVUTzkxT0=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@afsalmoosa7881,"
              @afsalmoosa7881
            ",https://www.youtube.com/watch?v=ugjhVHcYbMU&lc=UgzjAb_J-_zqA8Gu6tF4AaABAg&pp=0gcJCSMANpG00pGi,"
            2年前
          ","
    441
  ",9 条回复
"You're missing one big (actually, HUGE) benefit to Apple Pay, your CC number is secure with Apple Pay as it doesn't submit your actual card number! This makes Apple Pay more secure than using your bank/CC institutions card in a transaction. BIG win to Apple for doing this!",https://yt3.ggpht.com/ytc/AIdro_kaUCDSfZ7HL-QgST3uYNE1Wx7sRO4XNNgiSSKev5bJlw=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@bob808,"
              @bob808
            ",https://www.youtube.com/watch?v=ugjhVHcYbMU&lc=Ugz9z5pPGV8Cn91TSyR4AaABAg,"
            1年前
          ","
    232
  ",6 条回复
"I want to point out the big difference between, let’s say the USA and a western European country when it comes to card payments. Firstly tap to pay has been an option for over a decade. Virtually every bank terminal has had the option to tap to pay for ages, Apple and Google password just other options when they came.
Also, here in Norway our banks worked together to create a instant payment app where you can pay your friends instantly. But they took this further by giving the option to pay in store with the app and also online.",https://yt3.ggpht.com/ytc/AIdro_mWmZaAMQB3uOjNHey3wPjH0_grOB4VCeAlVqsvapQ=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@fredrikriefenstahl6833,"
              @fredrikriefenstahl6833
            ",https://www.youtube.com/watch?v=ugjhVHcYbMU&lc=UgwIGalWQuZttBQtNfx4AaABAg,"
            1年前
          ","
    32
  ",
"Every family has that one person who will break the family financial struggle, I hope you become the one",https://yt3.ggpht.com/55324ZK1SXXP6tqU-7oyNtyf-822Bjp2En90wZ_UwUmhoVrIu4CcJZHUZgcuSr-nukB6axai=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@HexaBoxabl,"
              @HexaBoxabl
            ",https://www.youtube.com/watch?v=ugjhVHcYbMU&lc=Ugxjtq7Ig-oLZRPRGdp4AaABAg,"
            4周前
          ","
    7
  ",1 条回复
"0:29
“absolutely we should be scared shitless about that”
That's a real man's cry right there ",https://yt3.ggpht.com/5cO2hrYhQb4oIpdZQkd0KYqhe9x9h0wzfYvDZGblM_yRBTfKVC_xbi3atP2kUs2IxIUyoJOriw=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@Its_Just_Ibarra_here.302,"
              @Its_Just_Ibarra_here.302
            ",https://www.youtube.com/watch?v=ugjhVHcYbMU&lc=Ugz8VKhxEcNiNBcAGMN4AaABAg,"
            2年前
          ","
    107
  ",
"I had to double check the video date! Never realised the banks in USA are falling behind in technology like this. I'm sure they'll catch up eventually. Fortunately for the Americans, tech companies will push development.",,https://www.youtube.com/@GabrielRM,"
              @GabrielRM
            ",https://www.youtube.com/watch?v=ugjhVHcYbMU&lc=UgxFIXMlfZ3mR9uEPsh4AaABAg,"
            2年前
          ","
    43
  ",2 条回复
"What banks don’t realise is that it’s not just the convenience of tap to pay, it’s the convenience of having your wallet on the device you carry everywhere. I love Apple Pay because it means I can leave my wallet at home and not have to stress about losing it.",,https://www.youtube.com/@CraigBass1988,"
              @CraigBass1988
            ",https://www.youtube.com/watch?v=ugjhVHcYbMU&lc=Ugzf3mxObtjyoIZV6s14AaABAg,"
            1年前
          ","
    103
  ",7 条回复
"""A computer company ain't just going to walk in and take over the cell phone industry"". ""An iPod company ain't just going to walk in and take over the Swiss watch industry"". A cell phone company ain't just going to walk in and take over the banking industry"".",,https://www.youtube.com/@maestrovso,"
              @maestrovso
            ",https://www.youtube.com/watch?v=ugjhVHcYbMU&lc=Ugx6Tp1c8NOzLcsh-bh4AaABAg,"
            2年前
          ","
    51
  ",3 条回复
