icon,homepage,ID,comment_link,time,comment,like
,https://www.youtube.com/@%E6%98%9F%E8%BE%B0-t1t,@星辰-t1t,https://www.youtube.com/watch?v=K8d4n9GhBrg&lc=Ugwtt0HCBR5TIzZDVD94AaABAg,5天前,李美越的翻译是非常不恰当的，他把中国人民普通友善的表述，恶意翻译成粗鲁的冷漠的话语。这人是越南故意派来离间speed和中国粉丝的。,2210
,https://www.youtube.com/@5C14TANGKAMANBETHEL,@5C14TANGKAMANBETHEL,https://www.youtube.com/watch?v=K8d4n9GhBrg&lc=UgwUF24kMdWQ3u3M9ql4AaABAg,7天前,China is so underrated wtf,9668
,https://www.youtube.com/@carpenterpo1153,@carpenterpo1153,https://www.youtube.com/watch?v=K8d4n9GhBrg&lc=UgwIRjYtBKIpaHiqZuF4AaABAg&pp=0gcJCSMANpG00pGi,6天前,"After watching this video, I realized how foolish my previous views on China were. I've decided to plan my trip this year to China. I feel that if I don't go to China, I'll regret it for the rest of my life.",3958
,https://www.youtube.com/@%E5%AD%90%E7%91%9Cyuya,@子瑜yuya,https://www.youtube.com/watch?v=K8d4n9GhBrg&lc=UgzbXPBNsE6pfoZl-9N4AaABAg,1天前,"I was one of the tourists visiting the Great Wall that day, and I happened to see Speed’s group. I honestly didn’t know who they were at first, but after asking people around me, I found out that he is a famous YouTuber. I really liked the positive energy from the group and observed from a distance. However, in China, certain behaviors and etiquette are taken quite seriously, and some of their actions were considered rather impolite.
I was traveling with my family, but our experience that day wasn’t the best. The path up was already quite narrow and dangerous, yet Speed’s group arrived later and still pushed ahead, cutting in line. On top of that, his security team was rather rude, telling people to ""get out of the way."" My family and I had to cling to the wall just to make space for them.
I hope you can be a bit less on guard and have a better travel experience in China. Security here is very strict, with guards and surveillance cameras everywhere, so there’s no need to be overly cautious. People will naturally give you space because everyone wants to enjoy their trip. I truly appreciate you for sharing Chinese culture and cuisine with the world, but please also be mindful of shared spaces and keep your voice down a little. That way, both locals and tourists alike can have a more positive impression of you :)",73
,https://www.youtube.com/@sumitbishowkarma8668,@sumitbishowkarma8668,https://www.youtube.com/watch?v=K8d4n9GhBrg&lc=Ugw6V0QngkWIkclFXGR4AaABAg,7天前,Chinese people are really nice and humble i love 🇨🇳 China love from Nepal 🇳🇵,2426
,https://www.youtube.com/@Mushi_Weiwei%E5%8A%88%E6%A6%B4%E8%8E%B2,@Mushi_Weiwei劈榴莲,https://www.youtube.com/watch?v=K8d4n9GhBrg&lc=UgyJh27XIbffxHXlB8t4AaABAg,7天前,"I think the best part of China is that every single province has its own cuisine, cultures, dialects, and traditions. China is one of the MOST colorful country to visit. Somehow I even feel it’s arrogant when the US people call food here as “Chinese food”, like American people has only one cuisine system in their country so they think it’s ok to categorize the whole world’s cuisine by country. BUT China is so different, the different cuisines in each province are so colorful that you can never imagine. Just come — well I guess Shanghai is just an international city, it’s not real China. Come to visit all the provinces and see how different China can be!",4110
,https://www.youtube.com/@jb-oi9yv,@jb-oi9yv,https://www.youtube.com/watch?v=K8d4n9GhBrg&lc=UgxK3XxvsYtGSVyw9Mh4AaABAg,6天前,"I been to China twice, first time stayed there over 2 months, second time over a month and the people so nice there. I hate how the news always talks bad about China but in reality China is a great place.",2010
https://yt3.ggpht.com/ytc/AIdro_l5LLkTg-D-orAjIv3QnONs9TM45y_AotBXm2mRPRn4eltxYktPs1EaE6EeEfGMXSfLHQ=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@Alexandriawuchen-s2h,@Alexandriawuchen-s2h,https://www.youtube.com/watch?v=K8d4n9GhBrg&lc=Ugzatx66yrOpgRfeLXN4AaABAg,5天前,"The male translator who wore one of the traditional Chinese clothes was the one who dressed Speed in the same way. He is an Internet liar, he is Vietnamese, has learned a little Chinese, deceived fans in the Chinese Internet various behaviors, this time is specifically rubbing speed traffic, and many translations are deliberately wrong, yin and yang weird. Hey, hopefully the team can find some good translators, man.",1173
https://yt3.ggpht.com/ytc/AIdro_kBZyti_EdG7Z2tPURAhtvZcDEoq73Vm0cSpJGX4RcB-exQUY_LOdwIilGHZgafdKmRUA=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@LinLin-n1f,@LinLin-n1f,https://www.youtube.com/watch?v=K8d4n9GhBrg&lc=Ugzu8gi2xygSehcr9bZ4AaABAg&pp=0gcJCSMANpG00pGi,7天前,"China is very safe, friendly and clean. You can't just rely on a mobile phone to see a country or a thing. You need to go there in person and experience it in person to truly feel everything.",2232
https://yt3.ggpht.com/ytc/AIdro_lEo-Fjsl5-W-PBREoCYhQl6oK9Hva7E3AXNJwoe9KBXg=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@kevinlu1196,@kevinlu1196,https://www.youtube.com/watch?v=K8d4n9GhBrg&lc=UgxxGL5UBMhallsYsod4AaABAg,3天前,"The translator's translation is highly inappropriate. He maliciously translated the Chinese people's ordinary and friendly expressions into rude and indifferent language."", his translation is too bad.",287
