icon,homepage,ID,comment_link,time,comment,like,reply
,https://www.youtube.com/@univea48,@univea48,https://www.youtube.com/watch?v=g4TDjwPRArg&lc=UgxmS9de-p29mqTwFl14AaABAg,2天前,"In fact, I have lived in Chengdu for 30 years. It is a very modern and young city. I hope that more people from other countries will come to this city and experience the rap rhythm of Chengdu.",594,37 条回复
,https://www.youtube.com/@sa0330-v8p,@sa0330-v8p,https://www.youtube.com/watch?v=g4TDjwPRArg&lc=UgxeGlPerH-QaifRzad4AaABAg,2天前,"给各个国家的友人们说一下(由于是机器翻译所有有可能比较奇怪)，2:51:44的这个女孩是在扮演游戏""蔚蓝档案""里的一个角色，这个角色在圈内会被用""种族歧视""进行玩梗，我们不支持她在这种场合下玩这种类型的梗，但还请各位朋友不要把她指代其他玩家，成都人和中国人，谢谢
I'd like to tell friends from all over the world (it may be a little strange because it is machine translated). The girl at 2:51:44 is playing a character in the game ""Blue Archive"". This character will be used as a ""racial discrimination"" meme in the circle. We don't support her using this type of meme in this situation, but please don't refer to her as other players, Chengdu people and Chinese. Thank you.",1832,132 条回复
,https://www.youtube.com/@JohnArielMercado,@JohnArielMercado,https://www.youtube.com/watch?v=g4TDjwPRArg&lc=UgxN0Rbp3t0dhK8PaER4AaABAg,2天前,"Thank you, Speed, for giving us a realistic perspective on China and the Chinese people! Love from Philippines ^^",136,3 条回复
,https://www.youtube.com/@fanhuki6513,@fanhuki6513,https://www.youtube.com/watch?v=g4TDjwPRArg&lc=UgzV0kVEm8oKbIp-Gs94AaABAg,1天前,"After Speed’s streams, I added China to my travel list. Only positive vibes on stream from Chinese citizens. Also learned that China is visa-friendly for European countries.",414,28 条回复
,https://www.youtube.com/@xjeuss4220,@xjeuss4220,https://www.youtube.com/watch?v=g4TDjwPRArg&lc=UgyDkt9uKD0acuuaiw94AaABAg,2天前,This city is crazy. Completely different from other cities bro,1823,105 条回复
,https://www.youtube.com/@fengevan6298,@fengevan6298,https://www.youtube.com/watch?v=g4TDjwPRArg&lc=UgzDlDp8TXXBVDoVSWx4AaABAg,2天前,The best translator showed up and it turned out she was a doctor.,1151,11 条回复
,https://www.youtube.com/@ChotionWu,@ChotionWu,https://www.youtube.com/watch?v=g4TDjwPRArg&lc=UgwiFU5shfdtei1rGZ54AaABAg,1天前,"This trip to China will show more and more truth, inclusiveness and diversity of China. I hope everyone can find a real China in a friendly way. We will not have racial discrimination. Everyone is welcome (I even helped translate for my Pakistani friends on the high-speed rail today)",376,7 条回复
https://yt3.ggpht.com/odhU7U7ypwFawLzD5wiwLDTQeRIiBJmLfpPXeE-lwe-SBX1DJwMbpfL36jprd26MDcmWgpVGgw=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@lakotakid,@lakotakid,https://www.youtube.com/watch?v=g4TDjwPRArg&lc=Ugwjbkj5S7hErkCwexl4AaABAg,21小时前,"I'm from USA and after watching speeds streams, china has a beautiful culture I would very much like to visit!",76,7 条回复
https://yt3.ggpht.com/ytc/AIdro_lRvq7jNKFBlVBIXgR3gNvEXFVDGgOESh0iMaCCMHf5hA=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@rhkjs3083,@rhkjs3083,https://www.youtube.com/watch?v=g4TDjwPRArg&lc=UgzCeupoTINaKgpGjH94AaABAg,2天前,"When Speed was eating hotpot, no one told him how to eat it, and no one told him that he should dip the food in the oil-based sauce. As a result, he never dipped his food in the sauce even once and missed out on the essence of hotpot. What a pity!

Also, just to clarify, the hotpot broth is not meant for drinking. In China, we usually don’t drink the broth because it’s not healthy.",1103,41 条回复
https://yt3.ggpht.com/ytc/AIdro_nLOZiVoOnOY9sRG6PEfbeJQZgNEc94Ld_-R0YhapW-QHpFlNNHtQIwpPu8VJKX5wVYKg=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@ARMAGEDDONHASBEGUN,@ARMAGEDDONHASBEGUN,https://www.youtube.com/watch?v=g4TDjwPRArg&lc=UgxtTjvvyfsfKDVCb7d4AaABAg,1天前,These China streams have been so amazing! China actually looks so good - from USA,535,9 条回复
https://yt3.ggpht.com/zN1gNRhekKBa-s1Yg61e_2R1T6pTsOWS1FgzZp62ycsUgKz7BPcr2n-bXDLF03Dygb78eQBT=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@theZenyx,@theZenyx,https://www.youtube.com/watch?v=g4TDjwPRArg&lc=Ugwi-GRjloeZ4HylZEJ4AaABAg,1天前,Chinese people are really nice and humble I love 🇨🇳 China love from Nepal 🇳🇵,566,19 条回复
https://yt3.ggpht.com/ytc/AIdro_lVCiG1j3k5PtfRk37xK4on-cArRLqiujclpSJLBVs=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@ryanlina4597,@ryanlina4597,https://www.youtube.com/watch?v=g4TDjwPRArg&lc=UgyabPrtq_A-ysJfmd94AaABAg,14小时前,"Bro, I want to let u know that in the hair salon, that guy did not say your hair is reggedy. Your bro translated it utterly wrong. All the salon guy said is that they never deal with Dreadlocks style before, so they are scared to fked your hair up. Plus, please tell your brother to be careful of what he says. The word Chick is really disrespectful towards Chinese women.",77,4 条回复
https://yt3.ggpht.com/ytc/AIdro_nQm1bhqlEf9W_ButyTJg2ytZH4DHakOMcPKuasXLDsPncr=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@austinhill5825,@austinhill5825,https://www.youtube.com/watch?v=g4TDjwPRArg&lc=UgzJXA5Urwoe0cGaIj94AaABAg,1天前,Sending love to China from America 🇺🇸🇨🇳️,185,2 条回复
,https://www.youtube.com/@kjsciacca,@kjsciacca,https://www.youtube.com/watch?v=g4TDjwPRArg&lc=UgwMKMVVoaoKcrOlXNd4AaABAg,2天前,I’m an American living in China.  Glad to see Speed is showing the positives of China.  I love living here,1727,49 条回复
,https://www.youtube.com/@noblejesse,@noblejesse,https://www.youtube.com/watch?v=g4TDjwPRArg&lc=Ugx8El3t1KGfzgzObth4AaABAg,2天前,"Chinese people are really welcoming in these comments, I've never seen a culture do this to be honest. Also the girl saying she is racist is not a big deal, speed and everyone else was able to move on",347,15 条回复
,https://www.youtube.com/@MHDebidour,@MHDebidour,https://www.youtube.com/watch?v=g4TDjwPRArg&lc=UgxcMThM-1BGGyFjnmd4AaABAg,1天前,"Chinese people are very friendly and modest, I will visit for sure !",34,
,https://www.youtube.com/@whoruntheworldxd,@whoruntheworldxd,https://www.youtube.com/watch?v=g4TDjwPRArg&lc=UgwCexSYGh6ABps8jBx4AaABAg,2天前,"After Speed's broadcasts, most people's thoughts about China have changed and prejudices have been broken. Many people want to visit China.",268,12 条回复
,https://www.youtube.com/@jazz351f9,@jazz351f9,https://www.youtube.com/watch?v=g4TDjwPRArg&lc=UgyToRpn1lRH9tStzy54AaABAg&pp=0gcJCSMANpG00pGi,1天前,Speed suffers a lot from headaches and never lets chat know about it. He’s always trying to make other people happy. After the acupuncture he looked so relieved.,249,3 条回复
,https://www.youtube.com/@Andisge1992,@Andisge1992,https://www.youtube.com/watch?v=g4TDjwPRArg&lc=UgwTq8wVF5SYNIcfeIF4AaABAg&pp=0gcJCSMANpG00pGi,1天前,Watching 15 mins and i cant stop laughing.. i am a grown 32 year old german man with 2 children.. this is pure entertainment.. unfiltered people all over the world.. no politics no propaganda no hate.. speed is healing for the world,2374,59 条回复
,https://www.youtube.com/@jny5179,@jny5179,https://www.youtube.com/watch?v=g4TDjwPRArg&lc=UgzKFUSa6KAf8seiB0d4AaABAg,1天前,Chinese people are so accommodating and hospitable,80,
,https://www.youtube.com/@starkalexander2767,@starkalexander2767,https://www.youtube.com/watch?v=g4TDjwPRArg&lc=Ugzufroq5AzwwBSWkQZ4AaABAg,2天前,Speed ​​has done 5 IRL streams in China. This is enough to realize how vast and culturally diverse China really is,994,38 条回复
https://yt3.ggpht.com/ytc/AIdro_nRjFlPQsjtS1WAW1alwNMCS4-nexN783EoV52LJ68Z_w=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@Chronomatrix,@Chronomatrix,https://www.youtube.com/watch?v=g4TDjwPRArg&lc=UgzJxABz97rXYQjwqKN4AaABAg,2天前（修改过）,"I've never watched Speed before, I'm not a fan of how hectic his streams get, but now I understand why he's so famous, the guy is really good with fans, no matter where they are from, he's pure entertainment.",123,1 条回复
https://yt3.ggpht.com/7N-jS8H_5OCandVOB2STrPJ5kH9CfCrE-zkOcMk1S6YAYV5YBs6oo8Qudvig28X5ZFpPt_V72A=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@captainlevi98o,@captainlevi98o,https://www.youtube.com/watch?v=g4TDjwPRArg&lc=UgzRTsMJOZPDF-2OYYZ4AaABAg,2天前（修改过）,Chinese people are very respectfull and kind,716,29 条回复
https://yt3.ggpht.com/ytc/AIdro_mw9W1zbROEgqfldgUkMYbiqP28uReVzp1Jn9i1MO7VzfLhMA7aQmPVp_I588_YpOg-6g=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@binqin5430,@binqin5430,https://www.youtube.com/watch?v=g4TDjwPRArg&lc=UgwLFAcoz6sd-5yqjGx4AaABAg,1天前,"Chengdu is a 3,000-year-old city. It is rich in history and culture, and it is a gastronomic capital. China's happiest city ranks first all year round. Here, you can feel the state of life of freedom, food, leisure and entertainment. Please take your time and experience the life here. Welcome friends from all over the world",74,3 条回复
https://yt3.ggpht.com/36EP5I2aFkZFaM7E9dUvMd-ql7kLth-o-2tR0CKJS8zz4lYdVezaHXfr1OltPe5XP_jlvUhTTw=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@jefersoneisma1464,@jefersoneisma1464,https://www.youtube.com/watch?v=g4TDjwPRArg&lc=Ugx_7lHsTk53N1olR7d4AaABAg,10小时前,"BRO, SPEED GOT THE PEOPLE AROUND THE WORLD LOVE CHINA.",8,
https://yt3.ggpht.com/ytc/AIdro_kJ3FcTK6tPUFpl4R86BInDDqp5yQbydEyINs4qHI8JpA=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@Mr1991du,@Mr1991du,https://www.youtube.com/watch?v=g4TDjwPRArg&lc=Ugy2eDf9mVw3QW6qdTt4AaABAg,2天前,中醫的女醫生 秒殺這幾天的翻譯,1180,29 条回复
https://yt3.ggpht.com/ytc/AIdro_kpy72TqvMheMlxynw1hHgBWVNxqJZHyqDnxvoG5Z8XJwU5yncLCvpztnOOAgD6U6CAdQ=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@hansenyin-q7k,@hansenyin-q7k,https://www.youtube.com/watch?v=g4TDjwPRArg&lc=UgzL6Kx0k-kIowFikXZ4AaABAg,1天前,"Is China so advanced now? This breaks my 30 year old understanding of China. I have been deceived by the so-called mainstream media for so many years, and I also want to go to China to see.",244,34 条回复
https://yt3.ggpht.com/ytc/AIdro_lD2Gx8IICTKNOei7FVgq5zfokzCheOe00ApgrRcKDgGg=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@grindn10101,@grindn10101,https://www.youtube.com/watch?v=g4TDjwPRArg&lc=UgwiPrEll8z_q2axJUJ4AaABAg,10小时前,As a black man seeing all the Chinese people apologize for the girls action actually kinda made me tear up a little because i can feel the world coming together even with our media confusing everything. From America I'd like to say we also love our Chinese people,209,17 条回复
,https://www.youtube.com/@kalpak8,@kalpak8,https://www.youtube.com/watch?v=g4TDjwPRArg&lc=UgyYt-JGywv--NRFr7J4AaABAg,2天前,China irl is the best stream till date . W China from India,412,22 条回复
,https://www.youtube.com/@MadibIsh123,@MadibIsh123,https://www.youtube.com/watch?v=g4TDjwPRArg&lc=UgzE3rWXDCKMZfnbs3V4AaABAg,2天前,I have booked a trip to China in coming months! Because of speed Speed has really changed my perspective towards China,1643,162 条回复
