icon,homepage,ID,comment_link,time,comment,like,reply
,https://www.youtube.com/@priyanshu5705,@priyanshu5705,https://www.youtube.com/watch?v=QtIlD6uxwwk&lc=Ugw_8lYYWaHEdN2bavR4AaABAg,2小时前,"China is so underrated, it’s unbelievable!",3553,116 条回复
,https://www.youtube.com/@harryhuang7663,@harryhuang7663,https://www.youtube.com/watch?v=QtIlD6uxwwk&lc=UgyxpLuPk9_qiUWWfFx4AaABAg,2小时前,"The eight Chinese characters on the building shown on the drone shot are ""Hello Chongqing, Hello World"".",971,19 条回复
,https://www.youtube.com/@yili4460,@yili4460,https://www.youtube.com/watch?v=QtIlD6uxwwk&lc=UgynpB3eXWRIRNhVwDR4AaABAg,1小时前,"This is the meaning of self-media. Everyone has the equal right to spread the real world from their own perspective, not just China! Thanks Speed!",76,1 条回复
,https://www.youtube.com/@OttoWarmbier-h6n,@OttoWarmbier-h6n,https://www.youtube.com/watch?v=QtIlD6uxwwk&lc=UgylD2_zEox-n7m1o0N4AaABAg&pp=0gcJCSMANpG00pGi,2小时前,"""China is, without a doubt, the best country out there. These videos have completely flipped my perception of China on its head. Our French media had painted a wildly inaccurate picture of it. I’d absolutely love to travel to China with my friends sometime soon!""
Mad respect from Lyon, France 🇫🇷  🇨🇳",967,58 条回复
,https://www.youtube.com/@rhkjs3083,@rhkjs3083,https://www.youtube.com/watch?v=QtIlD6uxwwk&lc=Ugz-M86t_OqfJoHtKd94AaABAg,2小时前,"At 05:14:11 , Speed shows the phone case with Master Liang’s image—a meaningful gift from a fan. This moment truly reflects the deep respect and gratitude he holds for his mentor. As the Chinese saying goes, '一日为师，终身为父'—if someone teaches you even for a day, they deserve lifelong respect like a father. It’s incredible to see how much Master Liang means to Speed, and how this bond continues to inspire him. Such a touching and beautiful tribute!",950,11 条回复
https://yt3.ggpht.com/ytc/AIdro_kZV73WRHniB0Dtxg9G853yyqP88KP-_-l9IpzeKRfsCNZm=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@cristiannegrete8127,@cristiannegrete8127,https://www.youtube.com/watch?v=QtIlD6uxwwk&lc=UgwZTxGTEszRuFUCJHJ4AaABAg,2小时前,The drone shots were next level  Chongqing looks amazing,882,11 条回复
https://yt3.ggpht.com/ytc/AIdro_k-X5upI_WNkf_kkzneswcsz0zIDg5k9a4dVDa3tnyAUyU=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@brianchen3444,@brianchen3444,https://www.youtube.com/watch?v=QtIlD6uxwwk&lc=UgwxsLPICJfCZTSaRGl4AaABAg,2小时前,"This stream was peak, it got Chinese Messi, Ronaldo, Trump, Tony, karate kid remake, futuristic car, cyber city all in one",604,19 条回复
https://yt3.ggpht.com/xmrJdl-7-eayZ1FNjENvp5Hp0_BBdF6h9YB87zis2d3daWMrHwm1g5C6xjxLURF3Hz70asKL=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@whoruntheworldxd,@whoruntheworldxd,https://www.youtube.com/watch?v=QtIlD6uxwwk&lc=UgxhH9kB4asF7LwL5Kp4AaABAg,1小时前,"Just because a country is big and has a big population doesn't mean it's dirty. From what I've seen, Chinese women can walk around freely on the streets, the streets are very clean. There are two main reasons for this: they are educated and cultured. Comparing China to that country would be the most absurd comparison.",324,21 条回复
https://yt3.ggpht.com/bB4nCDBVOniuRx18LksCCHY2JYX9LpBVzMExoiEW2j5srcKjfRpfto4RBgvg-gr_eZKlQwks=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@Slither126,@Slither126,https://www.youtube.com/watch?v=QtIlD6uxwwk&lc=UgyEs-MwRaXJF_3CKpJ4AaABAg,2小时前（修改过）,"China is like one of the most underrated countries in the world. Last time I went to China in 2024, I didn’t see a lot of foreigners except for people in business trips or immigrants from China. But the infrastructure of China is outstanding! 🇨🇳",654,34 条回复
https://yt3.ggpht.com/ytc/AIdro_lhsOyE234v_pPaca6Ln_TqwagTJcXxgFrUlWkfLFSSktE=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@jcpesa19,@jcpesa19,https://www.youtube.com/watch?v=QtIlD6uxwwk&lc=Ugyn-V1JM7_Nxfdf5_Z4AaABAg&pp=0gcJCSMANpG00pGi,2小时前,Speed's drone team deserves a huge paycheck after this cause all of their drone shots were so majestic at live,1287,18 条回复
https://yt3.ggpht.com/YgkTypxbSUi4UQUjU-DjordEG4utoD6DvKXZOso20USP8GHR__sLFzl9dgKIpjY5k0uigpmV=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@shaunwong7268,@shaunwong7268,https://www.youtube.com/watch?v=QtIlD6uxwwk&lc=UgzlYN7s34J3YHIHoMZ4AaABAg,2小时前（修改过）,Chongqing is really a cyberpunk city! The nightlife is insane. Seeing the whole city light up is something absent in the west. It is something that makes East Asia so unique.,379,8 条回复
