icon,homepage,ID,comment_link,time,comment,like,reply
,https://www.youtube.com/@John-j4i5y,@John-j4i5y,https://www.youtube.com/watch?v=fK85SQzm0Z0&lc=UgwxvJvqFtCFY92-wid4AaABAg&pp=0gcJCSMANpG00pGi,8天前,The Chinese fans actually seem very respectful they aren't attacking him like people in other countries,5404,129 条回复
,https://www.youtube.com/@jayhi88,@jayhi88,https://www.youtube.com/watch?v=fK85SQzm0Z0&lc=UgxK2h6PHYTT7WosFZh4AaABAg,4天前,我為我的祖國中國感到無比的光榮與驕傲，我是台灣人更是一個驕傲的中國人。衷心的期盼兩岸趕快統一台灣回歸祖國!!!,1147,50 条回复
,https://www.youtube.com/@Benronix,@Benronix,https://www.youtube.com/watch?v=fK85SQzm0Z0&lc=Ugw6cLRSXjIwopuehFB4AaABAg,8天前,China's internet support is crazy bro it's top notch no other country can beat china. Internet quality is the reason why speed could do straight 6 hour stream with 2k Quality,3061,73 条回复
,https://www.youtube.com/@DIY-Engine-Experts,@DIY-Engine-Experts,https://www.youtube.com/watch?v=fK85SQzm0Z0&lc=Ugz9Al1Mk2KHvi6w2kV4AaABAg,4天前,"Damn China have beautiful Cities and Good People, Best Citys in the world!!!",1959,11 条回复
,https://www.youtube.com/@Doritoi,@Doritoi,https://www.youtube.com/watch?v=fK85SQzm0Z0&lc=Ugxu8Xjq6PAuYPzgCnx4AaABAg,9天前,"I like how the people in China are so open-handed and very welcoming to Speed, props to these people",1549,20 条回复
,https://www.youtube.com/@lcfcalvin,@lcfcalvin,https://www.youtube.com/watch?v=fK85SQzm0Z0&lc=Ugw5igbsNZFwjCKUEoh4AaABAg,9天前（修改过）,Bro underestimated his popularity in China lol,8927,176 条回复
,https://www.youtube.com/@Viceqt,@Viceqt,https://www.youtube.com/watch?v=fK85SQzm0Z0&lc=UgwY77uIB-lPvJotM8p4AaABAg,9天前,Seriously the BEST so far in MY Opinion. W China 🇨🇳,1352,13 条回复
,https://www.youtube.com/@felix-vo2yu,@felix-vo2yu,https://www.youtube.com/watch?v=fK85SQzm0Z0&lc=UgwfHul6uNln-btVu4N4AaABAg,4天前（修改过）,"More and more people have begun to truly understand China, where there are beautiful cities, kind-hearted people, and a united nation.",314,12 条回复
https://yt3.ggpht.com/ytc/AIdro_mHEJV5hOFl7Ua1CBzpzYdnlRgznVeKTWRYiHiH83RR22Y=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@ralphw3636,@ralphw3636,https://www.youtube.com/watch?v=fK85SQzm0Z0&lc=UgzAdt6YRzBMf7-Xat14AaABAg&pp=0gcJCSMANpG00pGi,8天前,Chinese people are very well behaved and nice. What a polite people. God bless the people of China.,3543,163 条回复
https://yt3.ggpht.com/uRQPmXVvqJP6bYXHli1dEgFxuOfLV8hoI6lSd_4H5BxIdvADGLLWXOdE3hWpfprjhOBQ-hma=s88-c-k-c0x00ffffff-no-rj,https://www.youtube.com/@almightysauerkraut6165,@almightysauerkraut6165,https://www.youtube.com/watch?v=fK85SQzm0Z0&lc=UgxrC-XuQsMi9JEwPl14AaABAg,9天前,"Your translator was not translating for you, he has his own agenda and was being extremely rude to everyone around you, please fire him.",1万,164 条回复
